Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Santos, Hellen Geremias dos; Nascimento, Carla Ferreira do; Izbicki, Rafael; Duarte, Yeda Aparecida de Oliveira; Porto Chiavegatto Filho, Alexandre Dias; ","Machine learning para análises preditivas em saúde: exemplo de aplicação para predizer óbito em idosos de São Paulo, Brasil",Cadernos De saúde pública,35,,e00050818,2019,"Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz"
"Santos, Hellen Geremias dos; Nascimento, Carla Ferreira do; Izbicki, Rafael; Duarte, Yeda Aparecida de Oliveira; Porto Chiavegatto Filho, Alexandre Dias; ","Machine learning for predictive analyses in health: an example of an application to predict death in the elderly in São Paulo, Brazil",Cadernos de Saúde Pública,35,,e00050818,2019,"Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz"
"Inácio, Marco Henrique de Almeida; Izbicki, Rafael; Stern, Rafael Bassi; ",Conditional independence testing: a predictive perspective,arXiv preprint arXiv:1908.00105,,,,2019,
"Botari, Tiago; Izbicki, Rafael; de Carvalho, Andre CPLF; ",Local interpretation methods to machine learning using the domain of the feature space,Joint European conference on machine learning and knowledge discovery in databases,,,241-252,2019,Springer International Publishing Cham
"Dalmasso, Niccolò; Pospisil, Taylor; Lee, Ann B; Izbicki, Rafael; Freeman, Peter E; Malz, Alex I; ",Conditional density estimation tools in python and R with applications to photometric redshifts and likelihood-free cosmological inference,Astronomy and Computing,30,,100362,2020,Elsevier
"dos Santos, Hellen Geremias; do Nascimento, Carla Ferreira; Izbicki, Rafael; de Oliveira Duarte, Yeda Aparecida; Chiavegatto Filho, Alexandre Dias Porto; ","Imprimir ARTIGO: Machine learning para análises preditivas em saúde: exemplo de aplicação para predizer óbito em idosos de São Paulo, Brasil",,,,,,
"Izbicki, Rafael; Shimizu, Gilson T; Stern, Rafael B; ",Flexible distribution-free conditional predictive bands using density estimators,arXiv preprint arXiv:1910.05575,,,,2019,
"Coscrato, Victor; Inácio, Marco Henrique de Almeida; Botari, Tiago; Izbicki, Rafael; ",NLS: an accurate and yet easy-to-interpret regression method,arXiv preprint arXiv:1910.05206,,,,2019,
"Suzuki, Adriano K; Louzada, Francisco; Francini, Jose F; Salasar, Luis EB; ",Modelagem Estatística para previsão de resultados de Jogos de Futebol: Quem será o Campeão Brasileiro de 2010?,Revista brasileira de estatistica,75,240,27-46,2014,
"Stern, Rafael; ",Caracterização química e física dos aerossóis durante a estação seca de 2013 na Amazônia Central,,,,,2015,Instituto Nacional de Pesquisas da Amazônia-INPA
"Yang, Fulin; Qubaja, Rafat; Tatarinov, Fyodor; Stern, Rafael; Yakir, Dan; ",Soil–atmosphere exchange of carbonyl sulfide in a Mediterranean citrus orchard,Atmospheric Chemistry and Physics,19,6,3873-3883,2019,"Copernicus Publications Göttingen, Germany"
"Whitehead, James D; Darbyshire, Eoghan; Brito, Joel; Barbosa, Henrique MJ; Crawford, Ian; Stern, Rafael; Gallagher, Martin W; Kaye, Paul H; Allan, James D; Coe, Hugh; ",Biogenic cloud nuclei in the central Amazon during the transition from wet to dry season,Atmospheric Chemistry and Physics,16,15,9727-9743,2016,"Copernicus Publications Göttingen, Germany"
"Whitehead, JD; Darbyshire, E; Brito, J; Barbosa, HMJ; Crawford, I; Stern, R; Gallagher, MW; Kaye, PH; Allan, JD; Coe, H; ",Interactive comment on “Biogenic cloud nuclei in the Amazon” by JD Whitehead et al.,,,,,2016,
"Whitehead, JD; Darbyshire, E; Brito, J; Barbosa, HMJ; Crawford, I; Stern, R; Gallagher, MW; Kaye, PH; Allan, JD; Coe, H; ",Biogenic cloud nuclei in the Amazon,Atmospheric Chemistry and Physics,2016,1,1-1,2016,Copernicus GmbH
"Artaxo, P; Stern, R; Brito, J; Carbone, S; ",Aerosol Chemical and Physical Characterization in Central Amazonia during the 2013 Dry Season,AGU Fall Meeting Abstracts,2015,,A31A-0018,2015,
"Lauretto, Marcelo de Souza; Stern, Rafael Bassi; Ribeiro, Celma; Stern, Julio Michael; ",Haphazard intentional sampling techniques in network design of monitoring stations,Proceedings,33,1,1-9,2019,
"Esteves, Luís Gustavo; Fossaluza, Victor; Silva, Bruno Daleffi da; Nunes, Emmanuelle Rodrigues; ",Relatório de análise estatística sobre o projeto “mapeamento dos casos de intoxicações agudas atendidos no Centro de Controle de Intoxicações da cidade de São Paulo”,,,,,2017,
"Schmidt, SJ; Malz, AI; Soo, JYH; Almosallam, IA; Brescia, Massimo; Cavuoti, STEFANO; Cohen-Tanugi, Johann; Connolly, AJ; DeRose, J; Freeman, PE; ",Evaluation of probabilistic photometric redshift estimation approaches for The Rubin Observatory Legacy Survey of Space and Time (LSST),Monthly Notices of the Royal Astronomical Society,499,2,1587-1606,2020,Oxford University Press
"Inácio, Marco Henrique de Almeida; Izbicki, Rafael; Gyires-Tóth, Bálint; ",Distance Assessment and Hypothesis Testing of High-Dimensional Samples using Variational Autoencoders,arXiv preprint arXiv:1909.07182,,,,2019,
"de Almeida Inácio, Marco Henrique; Izbicki, Rafael; Gyires-Tóth, Bálint; ",Distance Assessment and Hypothesis Testing of High-Dimensional Samples using Variational Autoencoders,stat,1050,,16,2019,
"de Almeida Inácio, Marco Henrique; Izbicki, Rafael; Bassi Stern, Rafael; ",Conditional independence testing: a predictive perspective,arXiv e-prints,,,arXiv: 1908.00105,2019,
"Alves Diniz, Marcio; Salasar, Luis Ernesto; Bassi Stern, Rafael; ",Positive Polynomials on closed boxes,arXiv e-prints,,,arXiv: 1610.01437,2016,
"Montoril, Michel Helcias; da Silva Ferreira, Clécio; ",On the estimation of change points in the Beer-Lambert law problem.,Chilean Journal of Statistics (ChJS),9,1,,2018,
"Fonseca, Rodney; Ludwig, Guilherme; Montoril, Michel; Pinheiro, Aluísio; ",Nonparametric methods for detecting change in Multitemporal SAR/PolSAR Satellite Data,arXiv preprint arXiv:2001.05764,,,,2020,
"Montoril, Michel H; Chang, Woojin; Vidakovic, Brani; ",Wavelet-based estimation of generalized discriminant functions,Sankhya B,81,,318-349,2019,Springer India
"Farias, Rafael BA; Montoril, Michel H; Andrade, José AA; ",Bayesian inference for extreme quantiles of heavy tailed distributions,Statistics & Probability Letters,113,,103-107,2016,Elsevier
"Montoril, Michel H; Morettin, Pedro A; Chiann, Chang; ",Spline Estimation of Functional Coefficient Regression Models for Nonlinear Time Series with Correlated Errors,,,,,,
"Montoril, Michel H; Morettin, Pedro A; Chiann, Chang; ",Spline Estimation of Functional Coefficient Regression Models with Correlated Errors,,,,,,
"Montoril, Michel Helcias; ",Modelos de regressão com coeficientes funcionais para séries temporais,,,,,2013,
"Montoril, Michel H; Morettin, Pedro A; Chiann, Chang; ",Wavelet estimation of functional coefficient regression models,"International Journal of Wavelets, Multiresolution and Information Processing",16,01,1850004,2018,World Scientific
"Montoril, Michel H; ",Instituto de Ciências Exatas Departamento de Estatıstica,,,,,,
"Montoril, Michel Helcias; ",Intervalos de confiança para altos quantis oriundos de distribuições de caudas pesadas,,,,,2009,
"Montoril, Michel Helcias; ",Estatıstica do gradiente: uma nova alternativa,,,,,,
"de Produçao, Estatıstica Aplicadaa Engenharia; Montoril, Michel H; ",Instituto de Ciências Exatas Departamento de Estatıstica,,,,,,
"Montoril, Michel H; Pinheiro, Aluísio; Vidakovic, Brani; ",Wavelet‐based estimators for mixture regression,Scandinavian Journal of Statistics,46,1,215-234,2019,Wiley Online Library
"Montoril, Michel H; Morettin, Pedro A; Chiann, Chang; ",Spline estimation of functional coefficient regression models for time series with correlated errors,Statistics & Probability Letters,92,,226-231,2014,Elsevier
"MARTÍNEZ-HERNÁNDEZ, I; GENTON, MG; COSCRATO, V; IZBICKI, R; STERN, RB; LIU, Z; LI, Q; ZHU, F; ","M. MALEKI, A. HAJRAJABI and RB ARELLANO-VALLE Symmetrical and asymmetrical mixture autoregressive processes............. 273 U. BANDYOPADHYAY, S. MUKHERJEE and A. BISWAS",,,,,,
"Izbicki, Rafael; Shimizu, Gilson; Stern, Rafael Bassi; ",CD-split: efficient conformal regions in high dimensions,arXiv preprint arXiv:2007.12778,,,,2020,
"Izbicki, Rafael; Lee, Ann B; Pospisil, Taylor; ",NNKCDE: Nearest neighbor kernel conditional density estimation,Astrophysics Source Code Library,,,ascl: 2005.010,2020,
"Borges, Leonardo M; Reis, Victor Candido; Izbicki, Rafael; ",Schrödinger's phenotypes: Herbarium specimens show two‐dimensional images are both good and (not so) bad sources of morphological data,Methods in Ecology and Evolution,11,10,1296-1308,2020,
"MUSETTI, M; IZBICKI, R; ",Combinando Métodos de Aprendizado Supervisionado para a Melhoria da Previsão do Redshift de Galáxias,TEMA (São Carlos),21,1,117-131,2020,Sociedade Brasileira de Matemática Aplicada e Computacional
"Inacio, Marco; Izbicki, Rafael; Gyires-Tóth, Bálint; ",Distance assessment and analysis of high-dimensional samples using variational autoencoders,Information Sciences,557,,407-420,2021,Elsevier
"Stern, Rafael B; d'Alencar, Matheus Silva; Uscapi, Yanina L; Gubitoso, Marco D; Roque, Antonio C; Helene, André F; Piemonte, Maria Elisa Pimentel; ",Goalkeeper game: a new assessment tool for prediction of gait performance under complex condition in people with Parkinson's disease,Frontiers in Aging Neuroscience,12,,50,2020,Frontiers Media SA
"Botari, Tiago; Hvilshøj, Frederik; Izbicki, Rafael; de Carvalho, Andre CPLF; ",MeLIME: meaningful local explanation for machine learning models,arXiv preprint arXiv:2009.05818,,,,2020,
"Inácio, Marco Henrique de Almeida; Izbicki, Rafael; Lopes, Danilo Lourenço; Salasar, Luis Ernesto; Poloniato, João; Diniz, Marcio Alves; ",Wisdom of the crowds forecasting the 2018 FIFA Men's World Cup,arXiv preprint arXiv:2008.13005,,,,2020,
"Kim, Haesoo; Ng, Camille; Diniz, Marcio A; Montoril, Michel H; Guan, Michelle; Brodsky, Victor; Vail, Eric; Tuli, Richard; Blais, Edik; Kim, Sungjin; ",Abstract C27: Association of mutant KRAS isoforms with weight loss in pancreatic cancer,Cancer Research,79,24_Supplement,C27-C27,2019,The American Association for Cancer Research
"Izbicki, Rafael; Lee, Ann B; ",A flexible approach to high-dimensional conditional density estimation,,,,,,
"Dalmasso, Niccolo; Izbicki, Rafael; Lee, Ann; ",Confidence sets and hypothesis testing in a likelihood-free inference setting,International Conference on Machine Learning,,,2323-2334,2020,PMLR
"de Almeida Inácio, Marco Henrique; Izbicki, Rafael; Lourenço Lopes, Danilo; Salasar, Luis Ernesto; Poloniato, João; Alves Diniz, Marcio; ",Wisdom of the crowds forecasting the 2018 FIFA Men's World Cup,arXiv e-prints,,,arXiv: 2008.13005,2020,
"Izbicki, Rafael; Diniz, Márcio A; Bastos, Leonardo S; ",Sensitivity and specificity in prevalence studies: The importance of considering uncertainty,Clinics,75,,e2449,2020,Faculdade de Medicina/USP
"Izbicki, Rafael; dos Santos, Tiago Mendonça; ",Aprendizado de máquina: uma abordagem estatística,,,,,2020,Rafael Izbicki
"Izbicki, Rafael; Lee, Ann B; Pospisil, Taylor; ",Appendix of “ABC-CDE: Towards Approximate Bayesian Computation with Complex High-Dimensional Data and Limited Simulations”,,,,,,
"Batistão, Mariana Vieira; Moreira, Roberta de Fátima Carreira; Coury, Helenice Jane Cote Gil; Salasar, Luis Ernesto Bueno; Sato, Tatiana de Oliveira; ",Prevalência de variações posturais e fatores associados em crianças e adolescentes: um estudo transversal,Fisioterapia em Movimento,29,,777-786,2016,Pontifícia Universidade Católica do Paraná
"Comito, Mateus Borges; Izbicki, Rafael; Stern, Rafael; Trecenti, Julio; ",CAUSAS DE DESAPARECIMENTO NO ESTADO DE SÃO PAULO ENTRE 2013 E 2014: UMA ANÁLISE AUTOMATIZADA DE BOLETINS DE OCORRÊNCIA,Revista da Defensoria Pública do Estado de São Paulo,2,2,285-316,2021,
"Damiani, Athos; Ferez, Mariana; Stern, Rafael; Trecenti, Julio; ",O valor da causa e o valor concedido por danos morais nos JEC.,,,,,2014,Revista dos Tribunais
"Esteves, Luıs Gustavo; Stern, RB; ",Inferência bayesiana,"Universidade Federal de São Carlos, São Carlos, SP-Brasil, Tech. Rep",,,,2017,
"Zhao, David; Dalmasso, Niccolò; Izbicki, Rafael; Lee, Ann B; ",Diagnostics for conditional density models and Bayesian inference algorithms,Uncertainty in Artificial Intelligence,,,1830-1840,2021,PMLR
"Izbicki, Rafael; Shimizu, Gilson; Stern, Rafael B; ",Cd-split and hpd-split: Efficient conformal regions in high dimensions,Journal of Machine Learning Research,23,87,1-32,2022,
"Cabezas, Luben Miguel; Stern, Rafael Bassi; ",Previsão em modelos filogenéticos,XXVII CIC e XII CIDTI,,,,2021,
"de Carvalho, Helton Graziadei; Esteves, Luís Gustavo; ",The Full Bayesian Significance Test for marginal homogeneity in two-way contingency tables,,,,,,
"Yasuda, Luri Ikeda; Stern, Rafael Bassi; ",Métodos de simulação para o cálculo de integrais com aplicações à Inferência Bayesiana,XXVII CIC e XII CIDTI,,,,2021,
"Gong, Ruobin; Kadane, Joseph B; Schervish, Mark J; Seidenfeld, Teddy; Stern, Rafael Bassi; ",The Value Provided by a Scientific Explanation,Reflections on the Foundations of Probability and Statistics: Essays in Honor of Teddy Seidenfeld,,,15-35,2022,Springer International Publishing Cham
"Valle, Denis; Shimizu, Gilson; Izbicki, Rafael; Maracahipes, Leandro; Silverio, Divino Vicente; Paolucci, Lucas N; Jameel, Yusuf; Brando, Paulo; ",The Latent Dirichlet Allocation model with covariates (LDAcov): A case study on the effect of fire on species composition in Amazonian forests,Ecology and Evolution,11,12,7970-7979,2021,
"Stern, Julio Michael; ",The Logical Consistency of Simultaneous Agnostic Hypothesis Tests.,,,,,2016,
"Dalmasso, Niccolo; Zhao, David; Izbicki, Rafael; Lee, Ann B; ",Likelihood-free frequentist inference: Bridging classical statistics and machine learning in simulation and uncertainty quantification,arXiv preprint arXiv:2107.03920,,,,2021,
"OLIVIERI FILHO, Ciro Alexandre; SUZUKI, Adriano Kamimura; LOUZADA, Francisco; SARAIVA, Erlandson Ferreira; SALASAR, Luis Ernesto Bueno; ",Uma abordagem bayesiana para previsão de resultados de jogos de futebol: uma aplicação ao campeonato inglês,Brazilian Journal of Biometrics,35,1,76-97,2017,
"Izbicki, Rafael; Bastos, Leonardo S; Izbicki, Meyer; Lopes, Hedibert F; Santos, Tiago Mendonça dos; ",How many hospitalizations has the COVID-19 vaccination already prevented in São Paulo?,Clinics,76,,e3250,2021,Faculdade de Medicina/USP
"McNeely, Trey; Vincent, Galen; Izbicki, Rafael; Wood, Kimberly M; Lee, Ann B; ",Identifying Distributional Differences in Convective Evolution Prior to Rapid Intensification in Tropical Cyclones,arXiv preprint arXiv:2109.12029,,,,2021,
"Dey, Biprateep; Newman, Jeffrey A; Andrews, Brett H; Izbicki, Rafael; Lee, Ann B; Zhao, David; Rau, Markus Michael; Malz, Alex I; ",Re-calibrating photometric redshift probability distributions using feature-space regression,arXiv preprint arXiv:2110.15209,,,,2021,
"Teeselink, Bouke Klein; van Dolder, Dennie; van den Assem, Martijn J; Dana, Jason; ","High-Stakes Failures of Backward Induction: Evidence from"" The Price Is Right""",,,,,2022,"SSRN Rochester, NY, USA"
"Cabezas, Luben MC; Izbicki, Rafael; Stern, Rafael B; ","Hierarchical clustering: Visualization, feature importance and model selection",Applied Soft Computing,141,,110303,2023,Elsevier
"Gong, Ruobin; Kadane, Joseph B; Schervish, Mark J; Seidenfeld, Teddy; Stern, Rafael B; GONG, RUOBIN; KADANE, JOSEPH B; SCHERVISH, MARK J; SEIDENFELD, TEDDY; STERN, RAFAEL B; ",Deceptive Credences,Ergo an Open Access Journal of Philosophy,7,,,2021,Michigan Publishing Services
"Montoril, Michel H; Correia, Leandro T; Migon, Helio S; ",Bayesian estimation of dynamic weights in Gaussian mixture models,arXiv preprint arXiv:2104.03395,,,,2021,
"Montoril, Michel H; Pinheiro, Aluísio; Vidakovic, Brani; ",Wavelet-based estimation of power densities of size-biased data,arXiv preprint arXiv:2112.12895,,,,2021,
"McNeely, Trey; Vincent, Galen; Wood, Kimberly M; Izbicki, Rafael; Lee, Ann B; ",Detecting distributional differences in labeled sequence data with application to tropical cyclone satellite imagery,The Annals of Applied Statistics,17,2,1260-1284,2023,Institute of Mathematical Statistics
"Izbicki, Rafael; ",Introduçaoa Inferência Causal,,,,,,
"Shimizu, Gilson Y; Izbicki, Rafael; Valle, Denis; ",A new LDA formulation with covariates,Communications in Statistics-Simulation and Computation,53,11,5201-5218,2024,Taylor & Francis
"Inacio, M; Izbicki, R; Lopes, D; Diniz, MA; Salasar, LE; Ferreira, JCP; ",What If the Forecaster Knew? Assessing Forecast Reliability via Simulation,Trends in Computational and Applied Mathematics,23,,175-192,2022,Sociedade Brasileira de Matemática Aplicada e Computacional-SBMAC
"Reimann, Bernardo F; Izbicki, Rafael; Stern, Julio M; Stern, Rafael B; Esteves, Luis G; ",Logical coherence in Bayesian simultaneous three-way hypothesis tests,arXiv preprint arXiv:2204.01495,,,,2022,
"Esteves, Luís Gustavo; Wechsler, Sergio; Zuazola, Pilar Loreto Iglesias; ",Uma nova versão do modelo de urna de Polya-Eggenberger,,,,,2001,
"Chiann, Chang; Montoril, Michel Helcias; Morettin, Pedro Alberto; ",Estimação do número de reprodução da pandemia por covid-19 em São Paulo,Revista Brasileira de Estatística,78,245,91-109,2020,
"Izbicki, Rafael; Esteves, Luis Gustavo; ",Logical consistency in simultaneous test procedures,,,,,2014,
"Pereira, Carlos Alberto de Bragança; Stern, Rafael Bassi; ",Identification of differentially expressed genes in RNA-Seq platform: a Bayesian multivariate logistic-normal model,Program and abstract,,,,2014,
"Lauretto, Marcelo de Souza; Stern, Rafael Bassi; Morgan, Kari Lock; Clark, MH; Stern, Julio Michael; ",Amostragem fortuita para melhorar o balanceamento de covariáveis em experimentos,Anais,,,14,2016,
"Stern, Julio Michael; Pereira, Carlos Alberto de Braganca; Lauretto, Marcelo de Souza; Esteves, Luis Gustavo; Izbicki, Rafael; Stern, Rafael Bassi; Diniz, Marcio Alves; Borges, Wagner de Souza; ",The e-value and the full Bayesian significance test: logical properties and philosophical consequences,arXiv preprint arXiv:2205.08010,,,,2022,
"Polo, Felipe Maia; Izbicki, Rafael; Lacerda Jr, Evanildo Gomes; Ibieta-Jimenez, Juan Pablo; Vicente, Renato; ",A unified framework for dataset shift diagnostics,Information Sciences,649,,119612,2023,Elsevier
"Masserano, Luca; Dorigo, Tommaso; Izbicki, Rafael; Kuusela, Mikael; Lee, Ann B; ",Simulation-based inference with WALDO: Perfectly calibrated confidence regions using any prediction or posterior estimation algorithm,arXiv preprint arXiv:2205.15680,,,,2022,
"Dey, Biprateep; Zhao, David; Newman, Jeffrey A; Andrews, Brett H; Izbicki, Rafael; Lee, Ann B; ",Calibrated predictive distributions via diagnostics for conditional coverage,arXiv preprint arXiv:2205.14568,100,,,2022,
"de Oliveira, Fabiana Luci; Stern, Rafael Bassi; Noli, Ana Fernanda; ",Processo decisório do Supremo Tribunal Federal na transição democrática brasileira (1978-1988),Revista de Estudos Empíricos em Direito,9,,1-27,2022,
"Shimizu, Gilson Yuuji; ",Bandas de prediÃ § Ã£ o usando densidade condicional estimada e um modelo LDA com covariÃ¡ veis,,,,,2021,Universidade de SÃ£ o Paulo
"de Oliveirai, Fabiana Luci; Stern, Rafael Bassi; Noli, Ana Fernanda; ",PROCESSO DECISÓRIO DO SUPREMO TRIBUNAL FEDERAL NA TRANSIÇÃO DEMOCRÁTICA BRASILEIRA,,,,,,
"Dey, Biprateep; Zhao, David; Andrews, Brett; Newman, Jeffrey; Izbicki, Rafael; Lee, Ann; ",Calibrated predictive distributions for photometric redshifts,"Machine Learning for Astrophysics, proceedings of the Thirty-ninth International Conference on Machine Learning (ICML 2022)",,,,2022,
"Cerqueira, Andressa; ",Inferência estatística para grafos aleatórios e redes,,,,,,Universidade de São Paulo (USP). Instituto de Matemática e Estatística (IME/SBI)
"Cerqueira, Andressa; ",Teste de hipóteses para grafos aleatórios com aplicação à neurociência,,,,,2014,
"Cerqueira, Andressa; Garivier, Aurélien; Leonardi, Florencia; ",A note on perfect simulation for Exponential Random Graph Models,ESAIM: Probability and Statistics,24,,138-147,2020,EDP Sciences
"Cerqueira, Andressa; Garivier, Aurélien; Leonardi, Florencia; ",A note on perfect simulation for exponential random graph models,arXiv preprint arXiv:1710.00873,,,,2017,
"Cerqueira, Andressa; Leonardi, Florencia; ",Estimation of the number of communities in the stochastic block model,IEEE Transactions on Information Theory,66,10,6403-6412,2020,IEEE
"Cerqueira, Andressa; Vargas, Claudia; Fraiman, Daniel; Leonardi, Florencia; ",A test of hypotheses for random graph distributions,,,,,,
"Cerqueira, Andressa; ",Statistical inference on random graphs and networks,,,,,2018,
"Cerqueira, Andressa; Leonardi, Florencia; ",Strong consistency of krichevsky-trofimov estimator for the number of communities in the stochastic block model,arXiv preprint arXiv:1804.03509,,,,2018,
"Cerqueira, Andressa; Fraiman, Daniel; Vargas, Claudia D; Leonardi, Florencia; ",A test of hypotheses for random graph distributions built from EEG data,IEEE Transactions on network science and engineering,4,2,75-82,2017,IEEE
"de Oliveira Jr, Mauro; Louzada, Francisco; de Araujo Pereira, Gustavo Henrique; Moreira, Fernando F; Calabrese, Raffaella; ",Inflated mixture models: Applications to multimodality in loss given default,Available at SSRN 2634919,,,,2015,
"Pereira, Gustavo Henrique Araújo; ","Avaliação do grau de atendimento de um estabelecimento de saúde pública, localizado no agreste alagoano, aos principais tópicos das normas regulamentadoras 07 e 09",,,,,2018,Universidade Federal de Alagoas
"Brolo, Camila Lorencetti; Pereira, Gustavo Henrique Araujo; ",Comparação de testes de hipóteses para duas médias em variáveis do tipo proporção,[UFSCar São Carlos] XXV CIC e X CIDTI-2018,,,,2018,
"de Araujo Pereira, Gustavo Henrique; ",Modelos de risco de crédito de clientes: uma aplicação a dados reais,,,,,2004,"Instituto de Matemática e Estatística da Universidade de São Paulo, 23/08/2004."
"Wechsler, Sergio; Assunção, Fernando; Stern, Rafael Bassi; ",Relatório de análise estatística sobre o projeto Íntegra: gênero e família,,,,,2006,
"Feronato, Sofia Galvão; Silva, Maria Luiza Matos; Izbicki, Rafael; Farias, Ticiana DJ; Shigunov, Patrícia; Dallagiovanna, Bruno; Passetti, Fabio; Dos Santos, Hellen Geremias; ",Selecting genetic variants and interactions associated with amyotrophic lateral sclerosis: a group LASSO approach,Journal of Personalized Medicine,12,8,1330,2022,MDPI
"Gong, Ruobin; Kadane, Joseph B; Schervish, Mark J; Seidenfeld, Teddy; Stern, Rafael B; ",Learning and total evidence with imprecise probabilities,International Journal of Approximate Reasoning,151,,21-32,2022,Elsevier
"Shimizu, Gilson Y; Izbicki, Rafael; de Carvalho, Andre CPLF; ",Model interpretation using improved local regression with variable importance,arXiv preprint arXiv:2209.05371,,,,2022,
"Alencar, Airlane Pereira; Pansonato, Fabiana; Izbicki, Rafael; ",Relatório de análise estatística sobre o projeto duração silábica e níveis prosódicos em português brasileiro,,,,,2008,
"Martino, L; Stern, Rafael Bassi; Louzada, Francisco; ",Contributed Discussion on Article by Pratola,Bayesian Analysis,11,3,941-943,2016,
"Lima, Antonio Carlos Pedroso de; Peixoto, Gabriel Ribeiro da Cruz; Izbicki, Rafael; ","Relatório de análise estatística sobre o projeto"" modelo de avaliação prognóstica em pacientes com insuficiência cardíaca""",,,,,2008,
"Polpo, Adriano; Stern, Julio Michael; Louzada, Francisco; Izbicki, Rafael; Takada, Hellinton Hatsuo; ",This book brings the contributed works of MaxEnt 2017-37th International Workshop on Bayesian Inference and Maximum Entropy Methods in Science and Engineering.[Prefácio],Bayesian inference and maximum entropy methods in science and engineering,,,,2018,
"Esteves, Luís G; Izbicki, Rafael; Stern, Julio M; Stern, Rafael B; ",Logical coherence in Bayesian simultaneous three-way hypothesis tests,International Journal of Approximate Reasoning,152,,297-309,2023,Elsevier
"Otto, Mateus P; Izbicki, Rafael; ",RFFNet: Scalable and interpretable kernel methods via Random Fourier Features,arXiv preprint arXiv:2211.06410,,,,2022,
"Masserano, Luca; Dorigo, Tommaso; Izbicki, Rafael; Kuusela, Mikael; Lee, Ann B; ",Likelihood-Free Frequentist Inference for Calorimetric Muon Energy Measurement in High-Energy Physics,,,,,,
"da Silva Ferreira, Clécio; Montoril, Michel H; Paula, Gilberto A; ",Partially linear models with p-order autoregressive skew-normal errors,Brazilian Journal of Probability and Statistics,36,4,792-806,2022,Brazilian Statistical Association
"Dalmasso, Niccolo; Masserano, Luca; Zhao, David; Izbicki, Rafael; Lee, Ann B; ",Likelihood-free frequentist inference: Confidence sets with correct conditional coverage,arXiv preprint arXiv:2107.03920,,,,2023,
"Stern, Julio Michael; Esteves, Luis Gustavo; Izbicki, Rafael; Stern, Rafael; ",Pragmatic Hypotheses in the Evolution of Science.,,,,,2019,
"Grivol, Gustavo; Izbicki, Rafael; Okuno, Alex A; Stern, Rafael B; ",Flexible conditional density estimation for time series,Brazilian Journal of Probability and Statistics,38,2,215-231,2024,Brazilian Statistical Association
"Fumis, André Americano de Freitas; Stern, Rafael Bassi; Fossaluza, Victor; Lima, Vitor Hugo Vieira de; ",Relatório de Análise Estatística sobre o Projeto Uma bioarqueologia da infância: apontamentos sobre a dieta infantil entre sambaquieiros através da análise de isótopos estáveis de δ15N e δ13C”,,,,,2022,
"Elga, Adam; Cisewski, Jessi; Kadane, Joseph B; Schervish, Mark J; Seidenfeld, Teddy; Stern, Rafael; Icard III, Thomas F; Martínez, Manolo; Godfrey-Smith, Peter; Luczak, Joshua; ",A Theory of Everything,,,,,,The University of Chicago Press
"Comito, Mateus Borges; Izbicki, Rafael; ",Estudo de pessoas desaparecidas através de técnicas de aprendizado de máquina,XXVII CIC e XII CIDTI,,,,2021,
"Nakazono, Lilianne; Ruiz, Raquel; Soares, Gabriela; Izbicki, Rafael; Ivezic, Zeljko; Mendes de Oliveira, Claudia; ",Redshift estimation of quasars using 12-band photometry from S-PLUS,American Astronomical Society Meeting Abstracts,55,2,242.07,2023,
"Coscrato, Victor; Inácio, Marco HA; Botari, Tiago; Izbicki, Rafael; ",NLS: An accurate and yet easy-to-interpret prediction method,Neural Networks,162,,117-130,2023,Pergamon
"Dey, Biprateep; Zhao, David; Newman, Jeffrey; Andrews, Brett; Lee, Ann; Izbicki, Rafael; ",Calibrated Predictive Distributions,APS April Meeting Abstracts,2023,,Q12. 004,2023,
"Masserano, Luca; Dorigo, Tommaso; Izbicki, Rafael; Kuusela, Mikael; Lee, Ann B; ",Simulator-based inference with WALDO: Confidence regions by leveraging prediction algorithms and posterior estimators for inverse problems,arXiv preprint arXiv:2205.15680,,,,2022,
"Assunção, Gabriel O; Izbicki, Rafael; Prates, Marcos O; ",Is augmentation effective to improve prediction in imbalanced text datasets?,arXiv preprint arXiv:2304.10283,,,,2023,
"Santos, Milene Regina dos; Izbicki, Rafael; ",Expertise-based weighting for regression models with noisy labels,Communications in Statistics-Simulation and Computation,,,1-9,2025,Taylor & Francis
"dos Santos, Milene Regina; Izbicki, Rafael; ",Expertise-based weighting for regression models with noisy labels,arXiv e-prints,,,arXiv: 2305.07430,2023,
"de Oliveira, Fabiana Luci; Stern, Rafael Bassi; Noli, Ana Fernanda; ",Decision-Making Process of Supreme Court in Brazil's Democratic Transition (1978-1988),Braz. J. Empirical Legal Stud.,9,,1,2022,
"Valle, Denis; Izbicki, Rafael; Leite, Rodrigo Vieira; ",Quantifying uncertainty in land-use land-cover classification using conformal statistics,Remote Sensing of Environment,295,,113682,2023,Elsevier
"Cerqueira, Andressa; Garcia, Nancy L; ",Graphical construction of spatial Gibbs random graphs,Journal of Mathematical Physics,63,4,,2022,AIP Publishing
"Cerqueira, Andressa; Levina, Elizaveta; ",A pseudo-likelihood approach to community detection in weighted networks,arXiv preprint arXiv:2303.05909,,,,2023,
